@RELATION overallSatisfaction

@ATTRIBUTE roomType {PrivateRoom,EntireHome,SharedRoom}
@ATTRIBUTE neighborhood {LesCorts,SantsMontjuic,CiutatVella,SantMarti,Gracia,Horta,Sarria,Eixample,SantAndreu,NouBarris}
@ATTRIBUTE reviews {0,2,1,3,6,7,4,8,5,10,9,11,12,13,14}
@ATTRIBUTE overallSatisfaction {1,2,3,4,5,6,7,8,9}
@ATTRIBUTE accommodates {10,12,3,16,8,6,7,1,5,9,14,11,13,15}
@ATTRIBUTE bedrooms {1,7,3,5,0,6,9,8,10}
@ATTRIBUTE price {1,0,2,4,3,14,7,6,5}
@ATTRIBUTE latitude {5,2,4,3,7,6,11,9,8,1,10,12,0,14,13}
@ATTRIBUTE longitude {8,7,6,4,11,12,9,10,5,3,13,14,0,1,2}

@DATA
PrivateRoom,Eixample,0,8,3,1,0,3,7
PrivateRoom,Eixample,0,8,3,0,0,3,7
PrivateRoom,Eixample,0,9,3,1,0,3,7
PrivateRoom,Eixample,0,8,3,1,0,3,7
PrivateRoom,Eixample,0,8,3,1,0,3,7
PrivateRoom,Eixample,0,8,3,1,0,4,7
PrivateRoom,CiutatVella,7,9,3,1,0,3,8
PrivateRoom,CiutatVella,3,7,3,1,0,3,8
PrivateRoom,Sarria,0,8,3,1,0,5,6
PrivateRoom,Sarria,0,8,1,1,0,6,3
PrivateRoom,Sarria,1,8,3,1,0,5,4
PrivateRoom,Eixample,0,8,5,1,0,5,7
PrivateRoom,Gracia,1,9,3,1,0,8,7
PrivateRoom,CiutatVella,0,9,3,1,0,3,11
PrivateRoom,Eixample,0,9,7,3,0,3,7
PrivateRoom,Eixample,0,9,3,1,0,3,6
PrivateRoom,Eixample,0,8,3,1,0,3,6
PrivateRoom,Eixample,0,9,3,1,0,3,7
PrivateRoom,Eixample,0,9,3,1,0,3,7
PrivateRoom,Eixample,0,8,3,1,0,3,6
PrivateRoom,Eixample,0,8,3,1,0,3,7
PrivateRoom,Eixample,0,8,3,1,0,3,7
PrivateRoom,SantsMontjuic,0,8,1,1,0,3,6
PrivateRoom,SantsMontjuic,0,9,1,1,0,2,6
PrivateRoom,SantsMontjuic,0,8,3,1,0,3,5
PrivateRoom,Eixample,0,8,3,1,0,3,7
PrivateRoom,SantsMontjuic,0,6,3,1,0,2,6
PrivateRoom,SantsMontjuic,3,8,3,1,0,2,7
PrivateRoom,SantsMontjuic,1,9,1,1,0,2,6
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,5
PrivateRoom,CiutatVella,0,9,7,3,0,3,8
PrivateRoom,Eixample,0,8,3,1,0,3,7
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,6
PrivateRoom,Eixample,0,9,3,1,0,3,6
PrivateRoom,Eixample,0,9,3,1,0,3,7
PrivateRoom,SantsMontjuic,1,8,3,1,0,2,6
PrivateRoom,SantsMontjuic,3,8,3,1,0,2,6
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,SantsMontjuic,2,9,3,1,0,2,7
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,6
PrivateRoom,SantsMontjuic,0,6,3,1,0,2,6
PrivateRoom,Sarria,0,9,1,1,0,5,4
PrivateRoom,Eixample,0,8,1,1,0,4,7
PrivateRoom,Eixample,0,9,5,1,0,4,7
PrivateRoom,Gracia,1,9,3,1,0,6,7
PrivateRoom,Sarria,0,8,3,1,0,7,5
PrivateRoom,Eixample,1,8,3,1,0,5,6
PrivateRoom,Gracia,0,9,1,1,0,5,7
PrivateRoom,Gracia,0,9,3,1,0,6,7
PrivateRoom,Eixample,0,9,3,1,0,4,7
PrivateRoom,Eixample,0,8,3,1,0,4,6
PrivateRoom,Eixample,0,9,3,3,0,5,6
PrivateRoom,Gracia,0,9,3,1,0,6,7
PrivateRoom,Sarria,0,8,3,1,0,5,6
PrivateRoom,Eixample,0,7,3,3,0,5,6
PrivateRoom,Sarria,0,8,3,1,0,5,6
PrivateRoom,Eixample,0,9,3,1,0,5,7
PrivateRoom,Eixample,0,9,1,1,0,4,6
PrivateRoom,Eixample,0,9,3,1,0,4,5
PrivateRoom,Sarria,0,4,3,1,0,5,6
PrivateRoom,LesCorts,0,8,3,1,0,4,5
PrivateRoom,Eixample,0,8,3,1,0,4,7
PrivateRoom,Eixample,0,9,3,1,0,4,7
PrivateRoom,Eixample,1,8,3,1,0,5,7
PrivateRoom,Eixample,0,9,3,1,0,5,7
PrivateRoom,Gracia,0,9,3,1,0,5,7
PrivateRoom,Gracia,0,9,3,1,0,6,7
PrivateRoom,Sarria,1,8,3,1,0,6,6
PrivateRoom,Sarria,0,8,3,1,0,6,6
PrivateRoom,Gracia,0,7,1,1,0,7,6
PrivateRoom,Gracia,0,9,3,1,0,7,7
PrivateRoom,Sarria,0,8,5,1,0,7,5
PrivateRoom,Eixample,0,8,3,1,0,4,7
PrivateRoom,Eixample,0,8,5,1,0,3,7
PrivateRoom,Eixample,0,9,3,1,0,4,6
PrivateRoom,Gracia,1,8,7,1,0,6,6
PrivateRoom,Gracia,0,9,3,1,0,7,6
PrivateRoom,Gracia,0,8,3,1,0,6,7
PrivateRoom,Gracia,0,7,3,1,0,6,7
PrivateRoom,Gracia,0,8,3,1,0,6,7
PrivateRoom,Gracia,0,9,3,1,0,6,7
PrivateRoom,Gracia,0,9,7,1,0,6,6
PrivateRoom,Gracia,1,8,1,1,0,7,6
PrivateRoom,Sarria,1,9,3,1,0,6,6
PrivateRoom,Eixample,5,8,5,1,0,7,9
PrivateRoom,Gracia,0,7,3,1,0,6,8
PrivateRoom,Gracia,0,8,3,1,0,8,6
PrivateRoom,Gracia,0,9,3,1,0,7,7
PrivateRoom,Gracia,0,8,7,1,0,7,6
PrivateRoom,Gracia,3,9,5,1,0,7,7
PrivateRoom,Horta,0,9,3,1,0,10,8
PrivateRoom,SantsMontjuic,0,8,3,1,0,3,4
PrivateRoom,Sarria,0,9,1,1,0,7,6
PrivateRoom,Gracia,0,8,3,1,0,6,7
PrivateRoom,Gracia,1,8,3,1,0,7,7
PrivateRoom,Eixample,0,9,3,1,0,4,6
PrivateRoom,Gracia,0,9,3,1,0,6,7
PrivateRoom,Sarria,0,9,3,1,0,7,6
PrivateRoom,CiutatVella,0,6,3,1,0,3,8
PrivateRoom,SantsMontjuic,0,7,7,1,0,2,8
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,8,3,1,0,3,8
PrivateRoom,Eixample,0,8,3,1,0,3,8
PrivateRoom,CiutatVella,1,8,3,1,0,3,9
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,CiutatVella,0,8,3,1,0,3,8
PrivateRoom,CiutatVella,0,6,3,1,0,3,9
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,SantsMontjuic,0,6,3,1,0,2,8
PrivateRoom,Eixample,0,9,1,1,0,3,8
PrivateRoom,SantsMontjuic,0,9,3,1,0,2,8
PrivateRoom,CiutatVella,2,9,3,1,0,3,8
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,SantsMontjuic,1,9,5,1,0,2,8
PrivateRoom,SantsMontjuic,1,8,1,1,0,2,8
PrivateRoom,CiutatVella,3,9,3,1,0,3,8
PrivateRoom,SantsMontjuic,1,8,3,1,0,2,8
PrivateRoom,CiutatVella,0,8,3,5,0,3,8
PrivateRoom,SantsMontjuic,3,9,3,1,0,2,8
PrivateRoom,CiutatVella,1,8,3,1,0,3,9
PrivateRoom,CiutatVella,1,8,3,1,0,3,9
PrivateRoom,CiutatVella,1,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,6,3,1,0,3,9
PrivateRoom,CiutatVella,1,8,3,1,0,4,8
PrivateRoom,Eixample,0,8,3,1,0,4,7
PrivateRoom,CiutatVella,0,8,3,1,0,4,8
PrivateRoom,Eixample,3,8,3,1,0,4,7
PrivateRoom,Eixample,2,8,3,1,0,4,7
PrivateRoom,CiutatVella,2,8,3,1,0,4,8
PrivateRoom,CiutatVella,2,9,3,1,0,4,8
PrivateRoom,Eixample,0,9,3,1,0,4,7
PrivateRoom,CiutatVella,7,9,3,1,0,4,9
PrivateRoom,CiutatVella,0,8,1,1,0,4,10
PrivateRoom,CiutatVella,0,8,3,1,0,3,10
PrivateRoom,CiutatVella,0,8,3,1,0,4,9
PrivateRoom,CiutatVella,0,9,1,1,0,4,10
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,9,3,1,0,4,9
PrivateRoom,CiutatVella,1,8,3,1,0,3,9
PrivateRoom,SantsMontjuic,2,9,3,1,0,2,8
PrivateRoom,CiutatVella,1,8,3,1,0,3,8
PrivateRoom,SantsMontjuic,1,8,3,1,0,1,8
PrivateRoom,CiutatVella,4,8,3,1,0,3,8
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,1,7,3,1,0,3,9
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,SantsMontjuic,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,7,9,3,1,0,3,9
PrivateRoom,CiutatVella,3,8,3,1,0,4,9
PrivateRoom,CiutatVella,3,8,3,1,0,3,8
PrivateRoom,Eixample,3,8,3,1,0,3,8
PrivateRoom,Eixample,2,9,1,1,0,4,7
PrivateRoom,CiutatVella,1,9,3,1,0,3,8
PrivateRoom,Gracia,2,9,3,1,0,6,7
PrivateRoom,Eixample,1,8,1,1,0,5,7
PrivateRoom,Gracia,0,9,3,1,0,6,7
PrivateRoom,Sarria,1,9,5,1,0,7,6
PrivateRoom,Gracia,0,9,3,1,0,6,6
PrivateRoom,Gracia,0,8,3,1,0,6,7
PrivateRoom,Gracia,0,8,3,1,0,6,7
PrivateRoom,Gracia,0,9,3,1,0,6,7
PrivateRoom,CiutatVella,0,8,3,1,0,3,8
PrivateRoom,CiutatVella,0,8,3,1,0,3,8
PrivateRoom,CiutatVella,2,7,3,1,0,3,8
PrivateRoom,Eixample,0,8,7,1,0,4,7
PrivateRoom,CiutatVella,3,8,3,1,0,4,8
PrivateRoom,Eixample,1,9,7,1,0,4,8
PrivateRoom,CiutatVella,5,8,3,1,0,3,8
PrivateRoom,Eixample,2,8,5,1,0,4,8
PrivateRoom,Eixample,0,8,1,1,0,3,7
PrivateRoom,CiutatVella,0,9,3,1,0,3,8
PrivateRoom,CiutatVella,2,7,3,1,0,4,8
PrivateRoom,CiutatVella,0,9,3,1,0,3,8
PrivateRoom,CiutatVella,0,9,1,1,0,3,8
PrivateRoom,CiutatVella,0,7,3,1,0,3,9
PrivateRoom,CiutatVella,0,8,1,1,0,3,9
PrivateRoom,CiutatVella,0,9,3,1,0,3,10
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,9,1,1,0,3,9
PrivateRoom,CiutatVella,1,9,3,1,0,4,9
PrivateRoom,CiutatVella,0,9,1,1,0,3,9
PrivateRoom,CiutatVella,2,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,1,8,3,1,0,4,9
PrivateRoom,CiutatVella,0,7,3,1,0,3,9
PrivateRoom,CiutatVella,2,7,3,1,0,3,9
PrivateRoom,CiutatVella,0,9,3,1,0,4,9
PrivateRoom,CiutatVella,0,6,3,1,0,3,9
PrivateRoom,CiutatVella,1,9,3,1,0,4,9
PrivateRoom,CiutatVella,1,8,3,1,0,3,9
PrivateRoom,Eixample,0,9,1,1,0,5,8
PrivateRoom,CiutatVella,3,8,3,1,0,4,9
PrivateRoom,Eixample,0,9,3,1,0,4,8
PrivateRoom,CiutatVella,0,8,7,1,0,3,9
PrivateRoom,CiutatVella,2,9,3,1,0,4,8
PrivateRoom,Eixample,0,8,3,1,0,5,9
PrivateRoom,CiutatVella,2,7,3,1,0,4,9
PrivateRoom,CiutatVella,3,8,3,1,0,4,9
PrivateRoom,CiutatVella,0,9,3,1,0,4,8
PrivateRoom,CiutatVella,9,8,3,1,0,4,8
PrivateRoom,CiutatVella,3,7,1,1,0,4,9
PrivateRoom,CiutatVella,0,7,1,1,0,4,9
PrivateRoom,CiutatVella,1,8,7,1,0,3,9
PrivateRoom,SantsMontjuic,0,9,3,1,0,2,8
PrivateRoom,CiutatVella,0,7,3,1,0,3,8
PrivateRoom,CiutatVella,3,7,3,1,0,3,8
PrivateRoom,Eixample,0,9,3,1,0,3,7
PrivateRoom,CiutatVella,0,9,3,1,0,3,8
PrivateRoom,Eixample,0,8,3,1,0,3,8
PrivateRoom,SantsMontjuic,2,8,3,1,0,2,8
PrivateRoom,CiutatVella,0,8,3,1,0,3,8
PrivateRoom,SantsMontjuic,1,8,3,1,0,3,8
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,CiutatVella,0,6,3,1,0,3,9
PrivateRoom,CiutatVella,0,9,3,1,0,3,9
PrivateRoom,CiutatVella,2,9,1,1,0,3,9
PrivateRoom,CiutatVella,0,8,1,1,0,3,9
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,8,1,1,0,3,9
PrivateRoom,CiutatVella,0,8,1,1,0,3,9
PrivateRoom,CiutatVella,0,8,3,1,0,3,10
PrivateRoom,CiutatVella,0,8,3,1,0,4,10
PrivateRoom,CiutatVella,0,9,3,1,0,3,9
PrivateRoom,CiutatVella,4,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,9,3,1,0,4,9
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
PrivateRoom,CiutatVella,0,9,3,1,0,4,9
PrivateRoom,CiutatVella,0,7,3,1,0,4,10
PrivateRoom,Eixample,2,8,7,1,0,5,8
PrivateRoom,Eixample,2,9,1,1,0,5,8
PrivateRoom,Eixample,0,7,3,3,0,6,8
PrivateRoom,Eixample,0,9,3,1,0,5,8
PrivateRoom,Eixample,1,9,3,1,0,5,7
PrivateRoom,Eixample,0,8,3,1,0,5,8
PrivateRoom,Eixample,0,7,3,1,0,4,7
PrivateRoom,Eixample,3,8,3,1,0,4,8
PrivateRoom,Eixample,0,9,3,1,0,5,8
PrivateRoom,Eixample,1,9,3,1,0,5,8
PrivateRoom,Eixample,0,9,1,1,0,5,8
PrivateRoom,Eixample,0,9,3,1,0,5,9
PrivateRoom,Eixample,0,8,3,1,0,4,9
PrivateRoom,CiutatVella,3,7,3,1,0,4,9
PrivateRoom,CiutatVella,0,8,3,1,0,4,9
PrivateRoom,SantMarti,1,8,3,1,0,5,10
PrivateRoom,Eixample,1,8,3,1,0,4,9
PrivateRoom,Eixample,2,9,3,1,0,5,9
PrivateRoom,Eixample,1,8,3,1,0,5,9
PrivateRoom,Eixample,0,7,1,1,0,6,8
PrivateRoom,Horta,0,9,3,1,0,7,8
PrivateRoom,Gracia,0,9,3,1,0,7,7
PrivateRoom,Eixample,0,8,3,1,0,6,8
PrivateRoom,Eixample,0,9,3,1,0,6,8
PrivateRoom,Gracia,0,9,3,1,0,6,8
PrivateRoom,Gracia,0,9,3,1,0,6,8
PrivateRoom,Gracia,0,9,5,1,0,6,8
PrivateRoom,Gracia,0,8,3,1,0,6,8
PrivateRoom,Gracia,0,8,3,1,0,7,7
PrivateRoom,Horta,0,8,1,1,0,8,7
PrivateRoom,Gracia,0,8,3,1,0,6,8
PrivateRoom,Gracia,0,9,3,1,0,6,8
PrivateRoom,Gracia,0,9,3,1,0,7,8
PrivateRoom,Gracia,1,9,3,1,0,7,7
PrivateRoom,Gracia,1,8,3,1,0,6,7
PrivateRoom,Eixample,0,7,3,1,0,6,8
PrivateRoom,Gracia,0,8,3,1,0,7,7
PrivateRoom,Gracia,0,8,3,1,0,7,8
PrivateRoom,Gracia,3,9,3,1,0,7,7
PrivateRoom,Gracia,0,9,3,1,0,7,7
PrivateRoom,Eixample,3,8,3,1,0,5,9
PrivateRoom,Eixample,0,9,3,1,0,7,8
PrivateRoom,Eixample,2,8,7,1,0,5,9
PrivateRoom,Gracia,0,9,3,1,0,7,7
PrivateRoom,Gracia,0,9,3,1,0,6,8
PrivateRoom,Eixample,0,9,1,1,0,6,8
PrivateRoom,Horta,0,8,3,1,0,7,8
PrivateRoom,Eixample,0,8,5,1,0,6,9
PrivateRoom,Eixample,1,8,3,1,0,5,9
PrivateRoom,Gracia,0,8,1,1,0,6,8
PrivateRoom,CiutatVella,0,9,1,1,0,5,10
PrivateRoom,SantMarti,0,8,3,1,0,5,10
PrivateRoom,CiutatVella,0,8,3,1,0,4,9
PrivateRoom,CiutatVella,0,8,1,1,0,4,10
PrivateRoom,Eixample,0,7,3,1,0,5,10
PrivateRoom,CiutatVella,1,8,3,1,0,4,9
PrivateRoom,Eixample,0,8,3,1,0,6,9
PrivateRoom,CiutatVella,0,9,1,1,0,4,9
PrivateRoom,CiutatVella,0,8,3,1,0,5,9
PrivateRoom,CiutatVella,5,9,3,1,0,4,9
PrivateRoom,CiutatVella,0,8,3,1,0,4,10
PrivateRoom,SantMarti,1,9,3,1,0,5,10
PrivateRoom,Eixample,3,9,3,1,0,5,9
PrivateRoom,CiutatVella,0,8,3,1,0,5,10
PrivateRoom,SantMarti,0,9,1,1,0,6,12
PrivateRoom,SantMarti,1,9,3,1,0,4,11
PrivateRoom,SantMarti,0,9,3,1,0,6,10
PrivateRoom,SantAndreu,0,6,7,3,0,8,10
PrivateRoom,Eixample,2,9,3,1,0,6,9
PrivateRoom,SantMarti,2,8,3,1,0,6,10
PrivateRoom,Eixample,0,9,1,1,0,5,9
PrivateRoom,CiutatVella,0,8,3,1,0,4,9
PrivateRoom,CiutatVella,1,8,3,1,0,4,10
PrivateRoom,CiutatVella,0,9,3,1,0,4,10
PrivateRoom,CiutatVella,0,9,1,1,0,4,10
PrivateRoom,CiutatVella,0,9,3,1,0,4,10
PrivateRoom,CiutatVella,0,8,3,1,0,4,10
PrivateRoom,CiutatVella,0,8,3,1,0,4,10
PrivateRoom,CiutatVella,1,7,7,1,0,4,10
PrivateRoom,CiutatVella,2,8,3,1,0,4,9
PrivateRoom,CiutatVella,0,9,3,1,0,4,10
PrivateRoom,Horta,0,9,5,1,0,8,9
PrivateRoom,Gracia,3,8,3,1,0,6,8
PrivateRoom,SantMarti,0,8,3,1,0,7,10
PrivateRoom,SantMarti,2,9,3,1,0,5,10
PrivateRoom,SantMarti,1,9,3,1,0,6,12
PrivateRoom,Eixample,0,8,3,1,0,5,8
PrivateRoom,CiutatVella,0,9,3,1,0,4,10
PrivateRoom,CiutatVella,1,9,1,1,0,4,10
PrivateRoom,CiutatVella,2,7,3,1,0,4,9
PrivateRoom,SantsMontjuic,5,8,3,1,0,2,9
PrivateRoom,CiutatVella,0,9,1,1,0,4,8
PrivateRoom,CiutatVella,5,8,3,1,0,3,10
PrivateRoom,CiutatVella,0,9,3,1,0,3,9
PrivateRoom,CiutatVella,9,8,5,1,0,3,9
PrivateRoom,CiutatVella,2,9,3,1,0,4,9
PrivateRoom,CiutatVella,1,9,3,1,0,4,10
PrivateRoom,CiutatVella,3,9,3,1,0,4,9
PrivateRoom,CiutatVella,0,9,3,1,0,4,9
PrivateRoom,Eixample,0,8,3,1,0,5,9
PrivateRoom,Eixample,0,9,3,1,0,6,9
PrivateRoom,CiutatVella,0,8,3,1,0,4,9
PrivateRoom,Eixample,0,9,3,1,0,5,7
PrivateRoom,Eixample,0,9,3,1,0,5,8
PrivateRoom,Eixample,4,9,3,1,0,5,8
PrivateRoom,Eixample,0,6,7,1,0,6,8
PrivateRoom,Eixample,0,9,3,1,0,6,9
PrivateRoom,Eixample,0,9,3,1,0,7,10
PrivateRoom,SantMarti,0,9,3,1,0,5,10
PrivateRoom,Eixample,0,9,3,1,0,6,10
PrivateRoom,SantMarti,0,8,3,1,0,7,10
PrivateRoom,SantMarti,2,8,7,1,0,5,11
PrivateRoom,SantMarti,0,8,3,1,0,5,10
PrivateRoom,Eixample,0,8,3,1,0,6,9
PrivateRoom,SantMarti,0,9,1,1,0,6,10
PrivateRoom,Eixample,0,8,3,1,0,5,10
PrivateRoom,SantMarti,0,9,3,1,0,5,10
PrivateRoom,Eixample,1,9,3,1,0,6,9
PrivateRoom,Horta,0,8,3,1,0,7,8
PrivateRoom,SantMarti,0,8,1,1,0,7,9
PrivateRoom,Eixample,0,9,3,1,0,7,9
PrivateRoom,Horta,0,9,3,1,0,7,8
PrivateRoom,Horta,0,9,3,1,0,8,8
PrivateRoom,SantMarti,0,9,3,1,0,7,10
PrivateRoom,SantMarti,0,9,3,1,0,8,10
PrivateRoom,SantAndreu,0,9,3,1,0,8,9
PrivateRoom,SantMarti,0,9,1,1,0,8,10
PrivateRoom,SantAndreu,0,8,3,1,0,8,10
PrivateRoom,SantMarti,0,9,3,1,0,7,10
PrivateRoom,Eixample,1,9,3,1,0,6,9
PrivateRoom,Gracia,0,9,3,1,0,6,8
PrivateRoom,Eixample,0,7,3,1,0,7,9
PrivateRoom,SantAndreu,0,9,3,3,0,8,10
PrivateRoom,Eixample,2,8,7,1,0,5,9
PrivateRoom,Eixample,0,7,7,1,0,7,10
PrivateRoom,Eixample,0,9,1,1,0,6,9
PrivateRoom,Eixample,0,8,3,1,0,7,9
PrivateRoom,Eixample,0,7,3,1,0,7,10
PrivateRoom,Eixample,0,9,5,1,0,6,9
PrivateRoom,SantMarti,0,8,3,1,0,8,10
PrivateRoom,SantMarti,0,8,3,1,0,6,12
PrivateRoom,SantMarti,0,4,5,1,0,5,11
PrivateRoom,SantMarti,0,8,7,1,0,6,12
PrivateRoom,CiutatVella,0,9,3,1,0,4,10
PrivateRoom,CiutatVella,0,8,3,1,0,4,10
PrivateRoom,Eixample,1,8,3,1,0,6,9
PrivateRoom,Eixample,1,8,3,1,0,7,9
PrivateRoom,Eixample,0,8,3,1,0,7,9
PrivateRoom,Eixample,0,9,3,1,0,5,8
PrivateRoom,Eixample,4,8,3,1,0,5,9
PrivateRoom,Eixample,0,9,1,1,0,6,9
PrivateRoom,Gracia,0,8,1,1,0,7,8
PrivateRoom,Gracia,0,8,3,1,0,6,8
PrivateRoom,Eixample,0,8,1,1,0,5,9
PrivateRoom,SantMarti,0,9,3,1,0,6,12
PrivateRoom,SantMarti,0,9,3,1,0,6,12
PrivateRoom,SantMarti,0,8,3,1,0,6,11
PrivateRoom,SantMarti,0,9,3,1,0,6,12
PrivateRoom,SantMarti,0,9,3,1,0,7,12
PrivateRoom,SantMarti,0,9,3,1,0,6,12
PrivateRoom,SantMarti,1,9,3,1,0,6,12
PrivateRoom,SantMarti,0,9,1,1,0,7,11
PrivateRoom,SantMarti,0,9,3,5,0,7,12
PrivateRoom,SantMarti,0,9,3,1,0,6,12
PrivateRoom,SantMarti,0,8,3,1,0,6,12
PrivateRoom,CiutatVella,1,7,3,1,0,4,10
PrivateRoom,Eixample,0,9,3,1,0,6,9
PrivateRoom,SantMarti,0,8,3,1,0,7,11
PrivateRoom,Eixample,2,9,3,1,0,6,10
PrivateRoom,SantMarti,2,8,1,1,0,5,10
PrivateRoom,SantMarti,1,8,3,1,0,6,12
PrivateRoom,SantMarti,0,9,1,1,0,5,10
PrivateRoom,SantMarti,0,9,1,1,0,7,13
PrivateRoom,SantMarti,2,8,3,1,0,5,11
PrivateRoom,SantMarti,0,7,3,1,0,7,12
PrivateRoom,SantMarti,2,9,1,1,0,9,12
PrivateRoom,SantMarti,0,8,3,1,0,7,13
PrivateRoom,SantMarti,5,8,3,1,0,6,10
PrivateRoom,NouBarris,0,9,3,1,0,9,9
PrivateRoom,Horta,1,8,3,1,0,9,6
PrivateRoom,NouBarris,0,7,3,1,0,12,10
PrivateRoom,Horta,0,9,3,1,0,9,7
PrivateRoom,NouBarris,0,8,3,1,0,10,8
PrivateRoom,Horta,0,9,3,1,0,9,5
PrivateRoom,Horta,1,8,3,1,0,11,7
PrivateRoom,SantAndreu,0,8,3,1,0,9,10
PrivateRoom,SantAndreu,0,8,3,1,0,9,10
PrivateRoom,Eixample,1,9,3,1,0,5,10
PrivateRoom,Eixample,0,8,3,1,0,6,10
PrivateRoom,Eixample,0,8,3,1,0,6,10
PrivateRoom,SantMarti,1,9,3,1,0,5,12
PrivateRoom,SantMarti,0,9,3,1,0,6,10
PrivateRoom,SantMarti,0,8,1,3,0,6,10
PrivateRoom,Eixample,0,8,5,1,0,6,10
PrivateRoom,SantMarti,1,8,3,1,0,7,9
PrivateRoom,Gracia,0,8,3,1,0,7,8
PrivateRoom,SantMarti,0,8,1,1,0,8,9
PrivateRoom,Eixample,0,6,3,1,0,7,9
PrivateRoom,SantMarti,0,7,3,1,0,9,12
PrivateRoom,SantAndreu,0,8,3,1,0,9,10
PrivateRoom,SantAndreu,0,8,7,3,0,9,10
PrivateRoom,NouBarris,0,9,3,1,0,12,9
PrivateRoom,SantAndreu,0,9,1,1,0,9,9
PrivateRoom,Eixample,1,8,1,1,0,3,7
PrivateRoom,Eixample,0,8,3,1,0,4,7
PrivateRoom,CiutatVella,0,9,3,1,0,3,8
PrivateRoom,Eixample,0,8,3,1,0,7,8
PrivateRoom,Eixample,1,8,3,1,0,5,7
PrivateRoom,Eixample,2,8,3,1,0,3,6
PrivateRoom,SantsMontjuic,3,8,3,1,0,2,5
PrivateRoom,Eixample,2,8,7,1,0,3,7
PrivateRoom,SantMarti,0,8,3,1,0,8,9
PrivateRoom,CiutatVella,0,8,3,1,0,3,8
PrivateRoom,Eixample,1,9,3,1,0,3,6
PrivateRoom,CiutatVella,1,9,3,1,0,3,9
PrivateRoom,Gracia,3,9,7,1,0,7,7
PrivateRoom,LesCorts,0,9,1,1,0,5,5
PrivateRoom,CiutatVella,0,8,3,1,0,4,10
PrivateRoom,Eixample,0,9,1,1,0,3,6
PrivateRoom,SantsMontjuic,3,8,3,1,0,2,8
PrivateRoom,SantMarti,0,8,3,3,0,7,9
PrivateRoom,Gracia,0,9,1,1,0,7,6
PrivateRoom,SantsMontjuic,0,9,3,1,0,2,5
PrivateRoom,CiutatVella,0,9,3,1,0,4,8
PrivateRoom,Eixample,2,8,7,1,0,4,6
PrivateRoom,Eixample,1,9,3,1,0,3,7
PrivateRoom,Eixample,0,8,3,1,0,5,7
PrivateRoom,SantMarti,0,9,3,1,0,7,12
PrivateRoom,Horta,0,8,3,1,0,9,9
PrivateRoom,NouBarris,0,7,3,1,0,11,9
PrivateRoom,SantMarti,0,7,3,1,0,9,12
PrivateRoom,SantMarti,0,8,1,1,0,7,10
PrivateRoom,SantAndreu,0,9,1,1,0,9,10
PrivateRoom,Eixample,0,7,3,1,0,7,9
PrivateRoom,Eixample,6,8,3,1,0,7,9
PrivateRoom,Eixample,0,8,5,1,0,7,9
PrivateRoom,SantMarti,0,8,3,1,0,8,11
PrivateRoom,SantAndreu,0,9,3,1,0,8,10
PrivateRoom,Horta,0,8,3,1,0,8,8
PrivateRoom,Eixample,0,8,3,1,0,6,9
PrivateRoom,Horta,0,8,3,1,0,8,9
PrivateRoom,SantAndreu,0,9,3,1,0,8,10
PrivateRoom,SantAndreu,1,9,3,1,0,9,10
PrivateRoom,SantMarti,0,8,3,1,0,8,13
PrivateRoom,SantMarti,0,8,1,1,0,8,13
PrivateRoom,SantMarti,0,8,3,1,0,9,12
PrivateRoom,CiutatVella,3,8,3,1,0,3,11
PrivateRoom,CiutatVella,8,9,3,1,0,4,9
PrivateRoom,Eixample,1,9,3,1,0,6,9
PrivateRoom,Eixample,0,8,3,1,0,7,10
PrivateRoom,SantAndreu,0,7,5,1,0,8,10
PrivateRoom,SantMarti,0,8,3,1,0,5,10
